call_index,recording_url,clip_filename,customer_said_in_audio,transcript_showed,turn_number,type,impact,clip_start,clip_end,confidence,error
24,https://grassroots-recording.avishkarai.com/219b3fcc-afa5-4515-80e7-ef28795b3300.wav,call_24_issue_4.wav,पच्चीस zero चार,पच्चीस zero चार,13,number,high,59.1,101.6,high,
34,https://grassroots-recording.avishkarai.com/edf2ebfb-1272-4d48-8e4d-bfa7b1adc0bb.wav,call_34_issue_2.wav,ATM ID,Eighty AM ID,13,word,medium,103.3,105.3,high,
30,https://grassroots-recording.avishkarai.com/25a829bc-1e34-45db-826b-3c9beec2f806.wav,call_30_issue_2.wav,पैंतालीस सौ (4500),पैंतालीस हो.,9,amount,high,58.3,60.3,high,
35,https://grassroots-recording.avishkarai.com/beff4247-fcdc-416d-9c8d-6cdd770a8b5a.wav,call_35_issue_2.wav,है.,है.,4,word,medium,36.1,38.1,high,
37,https://grassroots-recording.avishkarai.com/0b1b769b-bff1-4559-953e-7e261bf800de.wav,call_37_issue_1.wav,तिरपन सेकंड (assumed based on context),तेरा one second,13,number,low,53.3,55.5,high,
38,https://grassroots-recording.avishkarai.com/29ba22f0-1534-454d-8e2b-5da9eb93aeb0.wav,call_38_issue_1.wav,char hazar,Kya hazar?,8,amount,medium,45.3,47.1,high,
30,https://grassroots-recording.avishkarai.com/25a829bc-1e34-45db-826b-3c9beec2f806.wav,call_30_issue_3.wav,पैंतालीस सौ निकाल रही थी / सौ निकल रही हूं,सौ निकल रही हूं.,11,amount,high,101.7,104.8,high,
37,https://grassroots-recording.avishkarai.com/0b1b769b-bff1-4559-953e-7e261bf800de.wav,call_37_issue_2.wav,पैंसठ बाइस,पैंसठ बाइस,17,number,low,71.0,73.3,high,
39,https://grassroots-recording.avishkarai.com/2e75dd25-093b-4ae4-be38-8caebb28f2f3.wav,call_39_issue_1.wav,"Unclear, likely 'समय' or 'सुबह'",Sunrise subject,20,word,low,1.27,1.28,high,
40,https://grassroots-recording.avishkarai.com/205e99db-2144-4d2a-8675-fa22cab18498.wav,call_40_issue_1.wav,Four nine double one... eight seven one seven,498717,9-12,number,high,40.7,45.3,high,
42,https://grassroots-recording.avishkarai.com/4b967e30-2cf9-447a-8d79-b378883fcc0e.wav,call_42_issue_1.wav,India one ATM,NDA team,2,name,low,12.6,14.9,high,
43,https://grassroots-recording.avishkarai.com/425f7c7d-2c58-410a-9940-17e1eb439d35.wav,call_43_issue_1.wav,ATM से,April से,2,word,low,19.7,21.5,high,
42,https://grassroots-recording.avishkarai.com/4b967e30-2cf9-447a-8d79-b378883fcc0e.wav,call_42_issue_2.wav,Card (likely),पांच,6,word,high,30.0,31.5,high,
34,https://grassroots-recording.avishkarai.com/edf2ebfb-1272-4d48-8e4d-bfa7b1adc0bb.wav,call_34_issue_3.wav,1 1,double one,23,number,high,1.227,1.243,high,
38,https://grassroots-recording.avishkarai.com/29ba22f0-1534-454d-8e2b-5da9eb93aeb0.wav,call_38_issue_2.wav,unclear/frustration,Kahan chala raha tha?,10,word,low,120.5,122.7,high,
43,https://grassroots-recording.avishkarai.com/425f7c7d-2c58-410a-9940-17e1eb439d35.wav,call_43_issue_2.wav,पैसा हमारे खाते में आ जाएगा,पचास हज़ार पैसे में आ जाएगा,9,amount,medium,118.0,120.7,high,
45,https://grassroots-recording.avishkarai.com/acefe711-cadc-4d77-b6ab-6a13952f9291.wav,call_45_issue_1.wav,हां ma'am अभी भी मैंने पांच सौ रुपए UPI से withdraw [followed by silence or further explanation],हां ma'am अभी भी मैंने पांच सौ रुपए UPI से withdraw,2,word,high,11.6,19.5,high,
42,https://grassroots-recording.avishkarai.com/4b967e30-2cf9-447a-8d79-b378883fcc0e.wav,call_42_issue_3.wav,ATM ID,Paytm ID,18,word,medium,20.7,22.8,high,
38,https://grassroots-recording.avishkarai.com/29ba22f0-1534-454d-8e2b-5da9eb93aeb0.wav,call_38_issue_3.wav,unclear/context mismatch,Hai na pachchis hazar rupaye ka bata rahe hain?,20,amount,high,176.7,179.9,high,
39,https://grassroots-recording.avishkarai.com/2e75dd25-093b-4ae4-be38-8caebb28f2f3.wav,,Four five one two nine eight zero two,Four five... one two... nine eight zero two,12-16,number,high,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 3 column 22 [type=json_invalid, input_value='{\n  ""start_seconds"": 60...n  ""end_seconds"": 65.1,', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
42,https://grassroots-recording.avishkarai.com/4b967e30-2cf9-447a-8d79-b378883fcc0e.wav,call_42_issue_4.wav,यही शिकायत है,यही सिखाते हैं,22,word,low,135.7,137.7,high,
46,https://grassroots-recording.avishkarai.com/10f206f1-8ddf-42fa-ab91-94b1e0eeeddb.wav,call_46_issue_1.wav,mera amount fasa hai / account se paisa kata,मेरा account store पता,2,word,high,13.8,17.8,high,
47,https://grassroots-recording.avishkarai.com/a2466815-f2e0-4bc9-9650-67cda5c7f6ed.wav,call_47_issue_1.wav,paise nikale balance cut gaya,पैसे नहीं कहा ले balance sir,4,word,high,13.7,16.5,high,
43,https://grassroots-recording.avishkarai.com/425f7c7d-2c58-410a-9940-17e1eb439d35.wav,call_43_issue_3.wav,एक बजकर पंद्रह minute,एक बच्चे पंद्रह minute,20,word,low,17.7,20.3,high,
49,https://grassroots-recording.avishkarai.com/71d1f3b0-8966-4889-9bec-2bdc3858008d.wav,call_49_issue_1.wav,Card से किया गया था,Car से किया गया था,5,word,low,33.3,35.7,high,
48,https://grassroots-recording.avishkarai.com/13b21112-b466-4508-9e86-6a4f1f980d18.wav,call_48_issue_1.wav,अरे कार्ड तो अभी घर पर रखा हुआ है,अरे खास तो अभी घर पर रखा हुआ है,16,word,medium,118.7,122.3,high,
46,https://grassroots-recording.avishkarai.com/10f206f1-8ddf-42fa-ab91-94b1e0eeeddb.wav,call_46_issue_2.wav,mera ATM ID,मेरा EMID,4,word,medium,32.6,35.1,high,
47,https://grassroots-recording.avishkarai.com/a2466815-f2e0-4bc9-9650-67cda5c7f6ed.wav,call_47_issue_2.wav,do bajkar tirpan minute,दो minute तिरपन second,22,time,medium,87.3,89.7,high,
49,https://grassroots-recording.avishkarai.com/71d1f3b0-8966-4889-9bec-2bdc3858008d.wav,call_49_issue_2.wav,A two six,a two six,7,number,medium,47.8,49.6,high,
52,https://grassroots-recording.avishkarai.com/c64f5607-df56-4bd4-b9a1-35fab6c7246d.wav,call_52_issue_1.wav,ATM ID नहीं पता है (Inferred),ATM आज इसी तरह होता है.,7,word,high,48.0,52.0,high,
46,https://grassroots-recording.avishkarai.com/10f206f1-8ddf-42fa-ab91-94b1e0eeeddb.wav,call_46_issue_3.wav,hai ATM ID four two,है area ID four two,9,word,high,35.0,38.3,high,
53,https://grassroots-recording.avishkarai.com/81a70d33-b7cd-479e-8a2d-6927356dafbf.wav,call_53_issue_1.wav,Double nine one nine double seven (with background noise),Double hello double nine one nine double seven.,27,number,high,105.9,109.1,high,
49,https://grassroots-recording.avishkarai.com/71d1f3b0-8966-4889-9bec-2bdc3858008d.wav,call_49_issue_3.wav,unclear/background noise,जोखिम में ही नहीं जोखिम पड़ता है.,11,word,low,54.0,58.5,high,
55,https://grassroots-recording.avishkarai.com/04f5f8cc-ab95-475e-9c2a-d6f99633e244.wav,call_55_issue_1.wav,Unknown (likely 'Network issue hai kya' or similar),Network है क्या अंश है?,2,word,high,10.3,13.7,high,
53,https://grassroots-recording.avishkarai.com/81a70d33-b7cd-479e-8a2d-6927356dafbf.wav,call_53_issue_2.wav,Unclear/Background chatter,pandrah lakh ke paise yeh paise madam ji,29,amount,medium,313.0,316.0,medium,
60,https://grassroots-recording.avishkarai.com/7306dd29-6033-4e72-8046-e6166a719623.wav,call_60_issue_1.wav,तकनीकी कारण (assumed),निकी का कारण,5,word,low,22.3,24.4,high,
50,https://grassroots-recording.avishkarai.com/093b4751-e442-4ec1-b939-24174aaf7da8.wav,,four seven one zero five zero zero two,four seven one zero five zero zero two,9-11,number,high,,,,"Gemini error: 1 validation error for TimestampResult
  Invalid JSON: EOF while parsing a value at line 3 column 21 [type=json_invalid, input_value='{\n  ""start_seconds"": 15...\n  ""end_seconds"": 155.', input_type=str]
    For further information visit https://errors.pydantic.dev/2.10/v/json_invalid"
53,https://grassroots-recording.avishkarai.com/81a70d33-b7cd-479e-8a2d-6927356dafbf.wav,call_53_issue_3.wav,Unclear frustrated speech,"Main bhook baat nahi kiya, kal milega fayda karunga usko.",39,word,medium,175.5,179.0,high,
60,https://grassroots-recording.avishkarai.com/7306dd29-6033-4e72-8046-e6166a719623.wav,call_60_issue_2.wav,अड़तालीस घंटे से (assumed),हर साल जनंचेस,7,word,medium,45.3,47.7,high,
52,https://grassroots-recording.avishkarai.com/c64f5607-df56-4bd4-b9a1-35fab6c7246d.wav,call_52_issue_2.wav,अट्ठाईस फरवरी दो हज़ार चौबीस/पच्चीस (Inferred),अट्ठाईस फरवरी दो हज़ार छब्बीस.,9,date,medium,108.8,113.3,high,
57,https://grassroots-recording.avishkarai.com/104a2832-bbb3-429a-a66a-906e3aaed165.wav,call_57_issue_1.wav,ATM four six five zero,EMI four six five zero,27,word,low,86.0,89.0,high,
56,https://grassroots-recording.avishkarai.com/94d7cace-b3c4-46b0-9571-9f85cc7dc8ea.wav,call_56_issue_1.wav,दस्तावेज हैं (assumed based on context),दस आदेश हैं,20,word,medium,212.1,214.9,high,
58,https://grassroots-recording.avishkarai.com/4e478e5f-846d-48bb-8a17-ab7b9c20fe38.wav,call_58_issue_1.wav,एक सौ अस्सी रुपए,एक अस्सी रुपए,8,amount,medium,48.5,50.5,high,
62,https://grassroots-recording.avishkarai.com/5c27163f-a84b-4c92-af61-67d3c48a48ce.wav,call_62_issue_1.wav,"हज़ार रुपए निकाल रहा था, पांच हज़ार मिला ही नहीं",हज़ार रुपए कटा रहा था पांच हज़ार मिला ही नहीं एक भी नहीं मिला.,29,amount,high,157.9,162.3,high,
64,https://grassroots-recording.avishkarai.com/016e77c3-3e43-406b-af49-53ca02c5de82.wav,call_64_issue_1.wav,withdraw किया है,result किया है,10,word,low,33.1,35.3,high,
64,https://grassroots-recording.avishkarai.com/016e77c3-3e43-406b-af49-53ca02c5de82.wav,call_64_issue_2.wav,card से,car से,12,word,medium,60.7,62.5,high,
62,https://grassroots-recording.avishkarai.com/5c27163f-a84b-4c92-af61-67d3c48a48ce.wav,call_62_issue_2.wav,ATM ID,DMI,16,word,low,1.03,1.08,high,
50,https://grassroots-recording.avishkarai.com/093b4751-e442-4ec1-b939-24174aaf7da8.wav,call_50_issue_2.wav,wrong likha hai ATM ID bol sakte ho aap (assumed),Madam ji reeta na hai Paytm ID bol sakte ho aap,13-14,word,high,78.3,81.7,high,
64,https://grassroots-recording.avishkarai.com/016e77c3-3e43-406b-af49-53ca02c5de82.wav,call_64_issue_3.wav,card से,काट से,20,word,low,61.1,62.9,high,
63,https://grassroots-recording.avishkarai.com/37440308-2431-441a-a579-8f41b42f7e6e.wav,call_63_issue_1.wav,Three two,Three to,42,number,low,169.7,171.7,high,
67,https://grassroots-recording.avishkarai.com/cf568345-b1e7-4202-9efd-0b23bde40948.wav,call_67_issue_1.wav,"मैं अभी ATM card से पैसा निकाला हूँ, but मेरे को पैसा प्राप्त नहीं हुआ लेकिन automatic मेरे account से कट गया पैसा. और ATM machine बंद हो गया आपका.",मैं अभी ATM card से पैसा नहीं... but पैसा प्राप्त नहीं हुआ लेकिन automatic मेरे account से cut गया पैसा... और ATM machine बंद हो गया आपका.,4-7,word,medium,21.0,32.0,high,
50,https://grassroots-recording.avishkarai.com/093b4751-e442-4ec1-b939-24174aaf7da8.wav,call_50_issue_3.wav,four seven one (assumed),four seven nine,18,number,medium,150.5,152.5,high,
64,https://grassroots-recording.avishkarai.com/016e77c3-3e43-406b-af49-53ca02c5de82.wav,call_64_issue_4.wav,bank band hai,bank वाम है,29,word,medium,171.8,173.8,high,
63,https://grassroots-recording.avishkarai.com/37440308-2431-441a-a579-8f41b42f7e6e.wav,call_63_issue_2.wav,hello,hello,5-6,word,medium,16.5,18.3,high,
68,https://grassroots-recording.avishkarai.com/1505de37-c99d-4bac-bf81-4896089c2dd9.wav,call_68_issue_1.wav,ek baj kar aath minute (inferred),एक बज काट काट की,9,time,medium,29.8,32.1,high,
70,https://grassroots-recording.avishkarai.com/964008f9-0a92-40a2-b3d8-d6802105a670.wav,call_70_issue_1.wav,Card से,Car से,8,word,low,25.7,27.7,high,
58,https://grassroots-recording.avishkarai.com/4e478e5f-846d-48bb-8a17-ab7b9c20fe38.wav,call_58_issue_2.wav,text message / ATM message,Paytm message,46,word,low,14.3,16.5,high,
69,https://grassroots-recording.avishkarai.com/99d0e9b7-1d16-476e-ba9c-f286907bda74.wav,call_69_issue_1.wav,Likely 'ATM ID नहीं पता' or similar,AC ID से निकालना है AC ID.,9,word,medium,68.0,71.0,high,
68,https://grassroots-recording.avishkarai.com/1505de37-c99d-4bac-bf81-4896089c2dd9.wav,call_68_issue_2.wav,double six zero four,Double six zero four,12,word,high,2.329,2.357,high,
73,https://grassroots-recording.avishkarai.com/d7464c78-139e-4e7f-9c40-e83ea567ca00.wav,call_73_issue_1.wav,ATM ID,TMT ID,15,word,low,52.1,54.1,high,
69,https://grassroots-recording.avishkarai.com/99d0e9b7-1d16-476e-ba9c-f286907bda74.wav,call_69_issue_2.wav,Likely something about the time or date,सात सात महीना पड़ेगा.,17,word,high,102.3,105.3,high,
58,https://grassroots-recording.avishkarai.com/4e478e5f-846d-48bb-8a17-ab7b9c20fe38.wav,call_58_issue_3.wav,वापस आ जाएगा,भाप आ जाएगा,50,word,medium,311.9,313.9,high,
61,https://grassroots-recording.avishkarai.com/0233f6e5-9250-495a-8713-a5f88ef84337.wav,call_61_issue_1.wav,राशि,राखी,12,word,low,135.0,137.0,high,
74,https://grassroots-recording.avishkarai.com/1931d9d8-422d-4dc8-ad21-0f5a518b0dca.wav,call_74_issue_1.wav,"पैसे नहीं निकल रहे हैं, ऐसे मदद करो ना (Inferred based on phonetic similarity and context)","अलग से ऐसे नहीं निकलना है, ऐसे मदद करो ना.",4,word,high,45.0,48.3,high,
61,https://grassroots-recording.avishkarai.com/0233f6e5-9250-495a-8713-a5f88ef84337.wav,call_61_issue_2.wav,तीस तिहत्तर,तीस तिहत्तर,18,number,high,138.5,141.0,high,
66,https://grassroots-recording.avishkarai.com/51cee43b-88a0-455d-a08b-c6134b01cc7c.wav,call_66_issue_1.wav,"Likely 'four thousand five hundred' with a stutter, or 'chappan/chauvan'",Five four thousand five hundred,25,amount,high,158.5,162.0,high,
75,https://grassroots-recording.avishkarai.com/3ff94483-4aca-43c1-92a5-3301c379780d.wav,call_75_issue_1.wav,India One,India India open,8,word,medium,37.6,39.2,high,
78,https://grassroots-recording.avishkarai.com/c98dcd15-49d4-43b7-a437-a7150b226c9c.wav,call_78_issue_1.wav,ATM से पैसे कट गए... कैश निकला नहीं है,ATM से पैसे cut गया. कौन सी loan नहीं है?,2,word,high,10.7,16.0,high,
58,https://grassroots-recording.avishkarai.com/4e478e5f-846d-48bb-8a17-ab7b9c20fe38.wav,call_58_issue_4.wav,ठीक हो जाएगा,थोड़ी हो जाएगा,56,word,low,6.14,6.16,high,
